Name,Collector Number,Card Link,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Void Seeker,OGN-024/298,https://riftdecks.com/cards/details-void-seeker,uncommon,fury,,spell,,,,,,,3,3,C,3C,,"[Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.","Riftbound Spell: Void Seeker. [Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.",
Wages of Pain,SFD-070/221,https://riftdecks.com/cards/details-wages-of-pain,common,mind,,spell,,,,,,,3,3,,3,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
[Action]  (Play on your turn or in showdowns.) 
Deal 3 to a unit at a battlefield. Play a Gold gear token exhausted.","Riftbound Spell: Wages of Pain. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. Play a Gold gear token exhausted.",
Wallop,OGN-146/298,https://riftdecks.com/cards/details-wallop,uncommon,body,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
As you play this, you may spend a buff as an additional cost.
Ready a unit.","Riftbound Spell: Wallop. [Action] (Play on your turn or in showdowns.)
As you play this, you may spend a buff as an additional cost.
Ready a unit.",
Whirlwind,OGN-187/298,https://riftdecks.com/cards/details-whirlwind,uncommon,chaos,,spell,,,,,,,3,3,C,3C,,"Starting with the next player, each player may return a unit to its owner's hand.","Riftbound Spell: Whirlwind. Starting with the next player, each player may return a unit to its owner's hand.",
Wind Wall,OGN-064/298,https://riftdecks.com/cards/details-wind-wall,uncommon,calm,,spell,,,,,,,3,3,CC,3CC,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell.","Riftbound Spell: Wind Wall. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell.",
Zenith Blade,OGN-262/298,https://riftdecks.com/cards/details-zenith-blade,epic,calm,order,spell,leona,,,,,signature,3,3,CC,3CC,,"[Action] (Play on your turn or in showdowns.)
Stun an enemy unit at a battlefield. You may move a friendly unit to that enemy unit's battlefield. (A stunned unit doesn't deal combat damage this turn.)","Riftbound Spell: Zenith Blade. [Action] (Play on your turn or in showdowns.)
Stun an enemy unit at a battlefield. You may move a friendly unit to that enemy unit's battlefield. (A stunned unit doesn't deal combat damage this turn.)",
Adaptatron,OGN-056/298,https://riftdecks.com/cards/details-adaptatron,uncommon,calm,,unit,mech,piltover,,,,,4,4,,4,3,"When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 [S] buff.)","Riftbound Unit: Adaptatron. When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 [S] buff.)",
"Ahri, Alluring",OGN-066/298,https://riftdecks.com/cards/details-ahri-alluring,rare,calm,,unit,ahri,ionia,,,,champion,5,5,C,5C,4,"When I hold, you score 1 point.","Riftbound Unit: Ahri, Alluring. When I hold, you score 1 point.",
"Akshan, Mischievous",SFD-109/221,https://riftdecks.com/cards/details-akshan-mischievous,rare,body,,unit,akshan,shurima,sentinel,,,champion,4,4,,4,4,"[Weaponmaster]
You may pay \[C]\[C] as an additional cost to play me.
When you play me, if you paid the additional cost, move an enemy gear to your base. You control it until I leave the board. If it's an Equipment, attach it to me.","Riftbound Unit: Akshan, Mischievous. [Weaponmaster]
You may pay [C][C] as an additional cost to play me.
When you play me, if you paid the additional cost, move an enemy gear to your base. You control it until I leave the board. If it's an Equipment, attach it to me.",
Albus Ferros,OGN-230/298,https://riftdecks.com/cards/details-albus-ferros,rare,order,,unit,piltover,,,,,,4,4,,4,3,"When you play me, spend any number of buffs. For each buff spent, channel 1 rune exhausted.","Riftbound Unit: Albus Ferros. When you play me, spend any number of buffs. For each buff spent, channel 1 rune exhausted.",
Ancient Warmonger,SFD-131/221,https://riftdecks.com/cards/details-ancient-warmonger,uncommon,chaos,,unit,spirit,noxus,,,,,5,5,,5,4,"[Accelerate]  ( Y ou may pay \[1]\[C] as an additional cost to have me enter ready.) 
I have [Assault] equal to the number of enemy units here.  (+1 [S] while I'm an attacker for each instance of Assault.) ","Riftbound Unit: Ancient Warmonger. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
I have [Assault] equal to the number of enemy units here. (+1 [S] while I'm an attacker for each instance of Assault.)",
"Anivia, Primal",OGN-148/298,https://riftdecks.com/cards/details-anivia-primal,rare,body,,unit,bird,anivia,freljord,,,champion,7,7,CC,7CC,8,"When I attack, deal 3 to all enemy units here.","Riftbound Unit: Anivia, Primal. When I attack, deal 3 to all enemy units here.",
"Annie, Fiery",OGS-001/024,https://riftdecks.com/cards/details-annie-fiery,epic,fury,,unit,annie,noxus,,,,champion,5,5,C,5C,4,Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),"Riftbound Unit: Annie, Fiery. Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.)",
"Annie, Stubborn",OGS-010/024,https://riftdecks.com/cards/details-annie-stubborn,rare,chaos,,unit,annie,noxus,,,,champion,4,4,C,4C,3,"When you play me, return a spell from your trash to your hand.","Riftbound Unit: Annie, Stubborn. When you play me, return a spell from your trash to your hand.",
"Aphelios, Exalted",SFD-224*/221,https://riftdecks.com/cards/details-aphelios-exalted,showcase,calm,,unit,aphelios,mounttargon,,,,champion,4,4,C,4C,4,"When you attach an Equipment to me, choose one that hasn't been chosen this turn —
- Ready 2 runes.
- Channel 1 rune exhausted.
- Buff a friendly unit.","Riftbound Unit: Aphelios, Exalted. When you attach an Equipment to me, choose one that hasn't been chosen this turn —
- Ready 2 runes.
- Channel 1 rune exhausted.
- Buff a friendly unit.",
Apprentice Smith,SFD-041/221,https://riftdecks.com/cards/details-apprentice-smith,uncommon,calm,,unit,freljord,,,,,,2,2,,2,2,"When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.","Riftbound Unit: Apprentice Smith. When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.",
Armed Assailant,SFD-002/221,https://riftdecks.com/cards/details-armed-assailant,common,fury,,unit,noxus,,,,,,6,6,C,6C,6,"[Accelerate]  (You may pay \[1]\[C] as an additional cost to have me enter ready.) 
[Weaponmaster]  (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.) ","Riftbound Unit: Armed Assailant. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",
Aspiring Engineer,SFD-061/221,https://riftdecks.com/cards/details-aspiring-engineer,common,mind,,unit,piltover,,,,,,3,3,C,3C,3,"When you play me, return a gear from your trash to your hand.","Riftbound Unit: Aspiring Engineer. When you play me, return a gear from your trash to your hand.",
Ava Achiever,OGN-107/298,https://riftdecks.com/cards/details-ava-achiever,rare,mind,,unit,yordle,,,,,,5,5,,5,4,"When I attack, you may pay [C] to play a card with [Hidden] from your hand here, ignoring its cost.","Riftbound Unit: Ava Achiever. When I attack, you may pay [C] to play a card with [Hidden] from your hand here, ignoring its cost.",
"Azir, Ascendant",SFD-050/221,https://riftdecks.com/cards/details-azir-ascendant,rare,calm,,unit,bird,azir,shurima,,,champion,6,6,C,6C,6,"[C]: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.","Riftbound Unit: Azir, Ascendant. [C]: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.",
"Azir, Sovereign",SFD-177a/221,https://riftdecks.com/cards/details-azir-sovereign,showcase,order,,unit,bird,azir,shurima,,,champion,4,4,,4,4,"[Accelerate]  (You may pay \[1]\[C] as an additional cost to have me enter ready.) 
When I attack, you may move any number of your token units to this battlefield.","Riftbound Unit: Azir, Sovereign. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
When I attack, you may move any number of your token units to this battlefield.",
"Bard, Mercurial",SFD-079/221,https://riftdecks.com/cards/details-bard-mercurial,rare,mind,,unit,bard,,,,,champion,4,4,C,4C,4,"You may exhaust your legend as an additional cost to play me.
When you play me, if you paid the additional cost, move any number of your units to an open battlefield.","Riftbound Unit: Bard, Mercurial. You may exhaust your legend as an additional cost to play me.
When you play me, if you paid the additional cost, move any number of your units to an open battlefield.",
Battering Ram,SFD-012/221,https://riftdecks.com/cards/details-battering-ram,uncommon,fury,,unit,trifarian,noxus,,,,,5,5,,5,5,"I cost [1] less for each card you've played this turn, to a minimum of [1].","Riftbound Unit: Battering Ram. I cost [1] less for each card you've played this turn, to a minimum of [1].",
Beast Below,SFD-132/221,https://riftdecks.com/cards/details-beast-below,uncommon,chaos,,unit,bilgewater,,,,,,7,7,CC,7CC,8,"When you play me, return another friendly unit and an enemy unit to their owners' hands.","Riftbound Unit: Beast Below. When you play me, return another friendly unit and an enemy unit to their owners' hands.",
Bilgewater Bully,OGN-125/298,https://riftdecks.com/cards/details-bilgewater-bully,common,body,,unit,bilgewater,,,,,,6,6,,6,6,"While I'm buffed, I have [Ganking]. (I can move from battlefield to battlefield.)","Riftbound Unit: Bilgewater Bully. While I'm buffed, I have [Ganking]. (I can move from battlefield to battlefield.)",
Black Market Broker,SFD-121/221,https://riftdecks.com/cards/details-black-market-broker,common,chaos,,unit,zaun,,,,,,3,3,,3,3,"When you play a card from face down, play a Gold gear token exhausted.","Riftbound Unit: Black Market Broker. When you play a card from face down, play a Gold gear token exhausted.",
Blast Corps Cadet,SFD-013/221,https://riftdecks.com/cards/details-blast-corps-cadet,uncommon,fury,,unit,piltover,,,,,,2,2,,2,2,"You may pay \[1]\[C] as an additional cost to play me.
When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.","Riftbound Unit: Blast Corps Cadet. You may pay [1][C] as an additional cost to play me.
When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.",
Blastcone Fae,OGN-097/298,https://riftdecks.com/cards/details-blastcone-fae,uncommon,mind,,unit,fae,bandlecity,,,,,2,2,C,2C,2,"[Hidden] (Hide now for [A] to react with later for [0].)
When you play me, give a unit -2 [S] this turn, to a minimum of 1 [S].","Riftbound Unit: Blastcone Fae. [Hidden] (Hide now for [A] to react with later for [0].)
When you play me, give a unit -2 [S] this turn, to a minimum of 1 [S].",
Blazing Scorcher,OGN-001/298,https://riftdecks.com/cards/details-blazing-scorcher,common,fury,,unit,dragon,noxus,,,,,5,5,,5,5,[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.),Riftbound Unit: Blazing Scorcher. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.),
"Blitzcrank, Impassive",OGN-067/298,https://riftdecks.com/cards/details-blitzcrank-impassive,rare,calm,,unit,mech,blitzcrank,zaun,,,champion,5,5,C,5C,5,"[Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.","Riftbound Unit: Blitzcrank, Impassive. [Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",
Brazen Buccaneer,OGN-002/298,https://riftdecks.com/cards/details-brazen-buccaneer,common,fury,,unit,pirate,bilgewater,,,,,6,6,,,5,"As you play me, you may discard 1 as an additional cost by [2].","Riftbound Unit: Brazen Buccaneer. As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by [2].",
Breakneck Mech,SFD-071/221,https://riftdecks.com/cards/details-breakneck-mech,uncommon,mind,,unit,mech,yordle,bandlecity,,,,8,8,CC,8CC,7,"Your Mechs have [Deflect] and [Ganking].  (Opponents must pay [A] to choose us with a spell or ability. We can move from battlefield to battlefield.) 
I enter ready if you control another Mech.","Riftbound Unit: Breakneck Mech. Your Mechs have [Deflect] and [Ganking]. (Opponents must pay [A] to choose us with a spell or ability. We can move from battlefield to battlefield.)
I enter ready if you control another Mech.",
Brynhir Thundersong,OGN-026/298,https://riftdecks.com/cards/details-brynhir-thundersong,rare,fury,,unit,freljord,,,,,,6,6,,6,5,"When you play me, opponents can't play cards this turn.","Riftbound Unit: Brynhir Thundersong. When you play me, opponents can't play cards this turn.",
Bubble Bot,SFD-062/221,https://riftdecks.com/cards/details-bubble-bot,common,mind,,unit,mech,yordle,bandlecity,,,,3,3,,3,3,"When you play me, ready another friendly Mech.","Riftbound Unit: Bubble Bot. When you play me, ready another friendly Mech.",
Buhru Captain,SFD-091/221,https://riftdecks.com/cards/details-buhru-captain,common,body,,unit,bilgewater,,,,,,3,3,C,3C,3,"When you play me, you may draw 1 or buff me.  (To buff a unit, give it a +1 [S] buff if it doesn't already have one.) ","Riftbound Unit: Buhru Captain. When you play me, you may draw 1 or buff me. (To buff a unit, give it a +1 [S] buff if it doesn't already have one.)",
"Caitlyn, Patrolling",OGN-068/298,https://riftdecks.com/cards/details-caitlyn-patrolling,rare,calm,,unit,caitlyn,piltover,,,,champion,3,3,C,3C,3,"I must be assigned combat damage last.
[T]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.","Riftbound Unit: Caitlyn, Patrolling. I must be assigned combat damage last.
[T]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",
Captain Farron,OGN-015/298,https://riftdecks.com/cards/details-captain-farron,uncommon,fury,,unit,trifarian,noxus,,,,,4,4,C,4C,5,Other friendly units here have [Assault]. (+1 [S] while they're attackers.),Riftbound Unit: Captain Farron. Other friendly units here have [Assault]. (+1 [S] while they're attackers.),
Card Sharp,SFD-081/221,https://riftdecks.com/cards/details-card-sharp,rare,mind,,unit,bilgewater,,,,,,3,3,,3,3,"When you play me, you and each opponent may play a Gold gear token exhausted. For each opponent who did, you play a Gold gear token exhausted.","Riftbound Unit: Card Sharp. When you play me, you and each opponent may play a Gold gear token exhausted. For each opponent who did, you play a Gold gear token exhausted.",
Carnivorous Snapvine,OGN-149/298,https://riftdecks.com/cards/details-carnivorous-snapvine,rare,body,,unit,shadowisles,,,,,,5,5,CC,5CC,6,"When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.","Riftbound Unit: Carnivorous Snapvine. When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.",
Cemetery Attendant,OGN-165/298,https://riftdecks.com/cards/details-cemetery-attendant,common,chaos,,unit,dog,shadowisles,,,,,3,3,C,3C,3,"When you play me, return a unit from your trash to your hand.","Riftbound Unit: Cemetery Attendant. When you play me, return a unit from your trash to your hand.",
Chemtech Enforcer,OGN-003/298,https://riftdecks.com/cards/details-chemtech-enforcer,common,fury,,unit,zaun,,,,,,2,2,,2,2,"[Assault 2] (+2 [S] while I'm an attacker.)
When you play me, discard 1.","Riftbound Unit: Chemtech Enforcer. [Assault 2] (+2 [S] while I'm an attacker.)
When you play me, discard 1.",
Cithria of Cloudfield,OGN-139/298,https://riftdecks.com/cards/details-cithria-of-cloudfield,uncommon,body,,unit,elite,demacia,,,,,2,2,,2,1,"When you play another unit, buff me. (If I don't have a buff, I get a +1 [S] buff.)","Riftbound Unit: Cithria of Cloudfield. When you play another unit, buff me. (If I don't have a buff, I get a +1 [S] buff.)",
Clockwork Keeper,OGN-044/298,https://riftdecks.com/cards/details-clockwork-keeper,common,calm,,unit,shurima,,,,,,2,2,,2,2,"As you play me, you may pay [C] as an additional cost. If you do, draw 1.","Riftbound Unit: Clockwork Keeper. As you play me, you may pay [C] as an additional cost. If you do, draw 1.",
Combat Chef,SFD-092/221,https://riftdecks.com/cards/details-combat-chef,common,body,,unit,demacia,,,,,,5,5,,5,5,"[Weaponmaster]  (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.) ","Riftbound Unit: Combat Chef. [Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",
Commander Ledros,OGN-231/298,https://riftdecks.com/cards/details-commander-ledros,rare,order,,unit,spirit,shadowisles,,,,,6,6,CCCC,6CCCC,8,"As you play me, you may kill any number of friendly units as an additional cost by [C] for each killed this way.
[Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
[Ganking] (I can move from battlefield to battlefield.)","Riftbound Unit: Commander Ledros. As you play me, you may kill any number of friendly units as an additional cost by [C] for each killed this way.
[Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
[Ganking] (I can move from battlefield to battlefield.)",
Corina Veraza,SFD-179/221,https://riftdecks.com/cards/details-corina-veraza,epic,order,,unit,zaun,,,,,,7,7,C,7C,6,"[Accelerate]  (You may pay \[1]\[C] as an additional cost to have me enter ready.) 
When I move to a battlefield, play three 1 [S] Recruit unit tokens here.","Riftbound Unit: Corina Veraza. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
When I move to a battlefield, play three 1 [S] Recruit unit tokens here.",
Corrupt Enforcer,SFD-123/221,https://riftdecks.com/cards/details-corrupt-enforcer,common,chaos,,unit,piltover,,,,,,3,3,C,3C,4,"When I move to a battlefield, discard 1.
When I win a combat, draw 1.","Riftbound Unit: Corrupt Enforcer. When I move to a battlefield, discard 1.
When I win a combat, draw 1.",
Crackshot Corsair,OGN-130/298,https://riftdecks.com/cards/details-crackshot-corsair,common,body,,unit,pirate,bilgewater,,,,,3,3,,3,3,"When I attack, deal 1 to an enemy unit here.","Riftbound Unit: Crackshot Corsair. When I attack, deal 1 to an enemy unit here.",
Cruel Patron,OGN-208/298,https://riftdecks.com/cards/details-cruel-patron,common,order,,unit,noxus,,,,,,4,4,,4,6,"As an additional cost to play me, kill a friendly unit.","Riftbound Unit: Cruel Patron. As an additional cost to play me, kill a friendly unit.",
Dangerous Duo,OGN-016/298,https://riftdecks.com/cards/details-dangerous-duo,uncommon,fury,,unit,mech,bandlecity,,,,,3,3,,3,3,"[Legion] — When you play me, give a unit +2 [S] this turn. (Get the effect if you've played another card this turn.)","Riftbound Unit: Dangerous Duo. [Legion] — When you play me, give a unit +2 [S] this turn. (Get the effect if you've played another card this turn.)",
Daring Poro,OGN-210/298,https://riftdecks.com/cards/details-daring-poro,common,order,,unit,poro,,,,,,2,2,,2,2,[Assault] (+1 [S] while I'm an attacker.),Riftbound Unit: Daring Poro. [Assault] (+1 [S] while I'm an attacker.),
"Darius, Trifarian",OGN-027a/298,https://riftdecks.com/cards/details-darius-trifarian,showcase,fury,,unit,trifarian,darius,noxus,,,champion,5,5,C,5C,5,"When you play your second card in a turn, give me +2 [S] this turn and ready me.","Riftbound Unit: Darius, Trifarian. When you play your second card in a turn, give me +2 [S] this turn and ready me.",
Dauntless Vanguard,SFD-093/221,https://riftdecks.com/cards/details-dauntless-vanguard,common,body,,unit,elite,demacia,,,,,4,4,C,4C,4,You may play me to an occupied enemy battlefield.,Riftbound Unit: Dauntless Vanguard. You may play me to an occupied enemy battlefield.,
Deadbloom Predator,OGN-161/298,https://riftdecks.com/cards/details-deadbloom-predator,epic,body,,unit,shadowisles,,,,,,8,8,CC,8CC,8,"[Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
You may play me to an occupied enemy battlefield.","Riftbound Unit: Deadbloom Predator. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
You may play me to an occupied enemy battlefield.",
Direwing,SFD-094/221,https://riftdecks.com/cards/details-direwing,common,body,,unit,dragon,demacia,,,,,7,7,,7,7,I enter ready if you control another Dragon.,Riftbound Unit: Direwing. I enter ready if you control another Dragon.,
Disarming Rake,SFD-032/221,https://riftdecks.com/cards/details-disarming-rake,common,calm,,unit,demacia,,,,,,3,3,C,3C,2,"When you play me, you may kill a gear.","Riftbound Unit: Disarming Rake. When you play me, you may kill a gear.",
"Dr. Mundo, Expert",OGN-109/298,https://riftdecks.com/cards/details-dr-mundo-expert,rare,mind,,unit,dr.mundo,zaun,,,,champion,8,8,CC,8CC,6,"My Might is increased by the number of cards in your trash.
At the start of your Beginning Phase, recycle 3 from your trash.","Riftbound Unit: Dr. Mundo, Expert. My Might is increased by the number of cards in your trash.
At the start of your Beginning Phase, recycle 3 from your trash.",
"Draven, Audacious",SFD-148/221,https://riftdecks.com/cards/details-draven-audacious,epic,chaos,,unit,draven,noxus,,,,champion,6,6,C,6C,6,"[Deflect]  (Opponents must pay [A] to choose me with a spell or ability.) 
The first time I win a combat each turn, you score 1 point.
When I die in combat, choose an opponent. They score 1 point.","Riftbound Unit: Draven, Audacious. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
The first time I win a combat each turn, you score 1 point.
When I die in combat, choose an opponent. They score 1 point.",
"Draven, Showboat",OGN-028/298,https://riftdecks.com/cards/details-draven-showboat,rare,fury,,unit,draven,noxus,,,,champion,5,5,C,5C,3,My Might is increased by your points.,"Riftbound Unit: Draven, Showboat. My Might is increased by your points.",
"Draven, Vanquisher",SFD-020a/221,https://riftdecks.com/cards/details-draven-vanquisher,showcase,fury,,unit,draven,noxus,,,,champion,4,4,,4,4,"When I win a combat, play a Gold gear token exhausted.
When I attack or defend, you may pay [C]. If you do, give me +2 [S] this turn.","Riftbound Unit: Draven, Vanquisher. When I win a combat, play a Gold gear token exhausted.
When I attack or defend, you may pay [C]. If you do, give me +2 [S] this turn.",
Dropboarder,SFD-072/221,https://riftdecks.com/cards/details-dropboarder,uncommon,mind,,unit,zaun,,,,,,4,4,,4,4,"When you play me, if you control two or more gear, ready me.","Riftbound Unit: Dropboarder. When you play me, if you control two or more gear, ready me.",
Dune Drake,OGN-131/298,https://riftdecks.com/cards/details-dune-drake,common,body,,unit,dragon,shurima,,,,,5,5,,5,5,"When I attack, give me +2 [S] if there is a ready enemy unit here.","Riftbound Unit: Dune Drake. When I attack, give me +2 [S] if there is a ready enemy unit here.",
Dunebreaker,SFD-027/221,https://riftdecks.com/cards/details-dunebreaker,epic,fury,,unit,thevoid,,,,,,7,7,C,7C,7,"If you have two or fewer cards in your hand, I enter ready.
When I hold, draw 2.","Riftbound Unit: Dunebreaker. If you have two or fewer cards in your hand, I enter ready.
When I hold, draw 2.",
Eager Apprentice,OGN-084/298,https://riftdecks.com/cards/details-eager-apprentice,common,mind,,unit,piltover,,,,,,3,3,,3,3,"While I'm at a battlefield, the Energy costs for spells you play is reduced by [1], to a minimum of [1].","Riftbound Unit: Eager Apprentice. While I'm at a battlefield, the Energy costs for spells you play is reduced by [1], to a minimum of [1].",
Eager Drakehound,SFD-006/221,https://riftdecks.com/cards/details-eager-drakehound,common,fury,,unit,dog,dragon,noxus,,,,3,3,C,3C,3,I enter ready.,Riftbound Unit: Eager Drakehound. I enter ready.,
Eclipse Herald,OGN-059/298,https://riftdecks.com/cards/details-eclipse-herald,uncommon,calm,,unit,bird,mounttargon,,,,,7,7,C,7C,7,"When you stun an enemy unit, ready me and give me +1 [S] this turn.","Riftbound Unit: Eclipse Herald. When you stun an enemy unit, ready me and give me +1 [S] this turn.",
"Ekko, Recurrent",OGN-110/298,https://riftdecks.com/cards/details-ekko-recurrent,rare,mind,,unit,ekko,zaun,,,,champion,5,5,C,5C,5,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
[Deathknell] — Recycle me to ready your runes. (When I die, get the effect.)","Riftbound Unit: Ekko, Recurrent. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)",
Ember Monk,OGN-167/298,https://riftdecks.com/cards/details-ember-monk,common,chaos,,unit,bandlecity,,,,,,4,4,,4,4,"When you play a card from [Hidden], give me +2 [S] this turn.","Riftbound Unit: Ember Monk. When you play a card from [Hidden], give me +2 [S] this turn.",
Eminent Benefactor,SFD-152/221,https://riftdecks.com/cards/details-eminent-benefactor,common,order,,unit,piltover,,,,,,6,6,,6,5,"When I hold, play two Gold gear tokens exhausted.","Riftbound Unit: Eminent Benefactor. When I hold, play two Gold gear tokens exhausted.",
"Ezreal, Dashing",SFD-082a/221,https://riftdecks.com/cards/details-ezreal-dashing,showcase,mind,,unit,ezreal,piltover,,,,champion,4,4,C,4C,3,"When I attack or defend, deal damage equal to my Might to an enemy unit here.
I don't deal combat damage.
[C]: [Action] — Move me to your base.","Riftbound Unit: Ezreal, Dashing. When I attack or defend, deal damage equal to my Might to an enemy unit here.
I don't deal combat damage.
[C]: [Action] — Move me to your base.",
"Ezreal, Prodigy",SFD-149a/221,https://riftdecks.com/cards/details-ezreal-prodigy,showcase,chaos,,unit,ezreal,piltover,,,,champion,3,3,C,3C,3,"When you play me, discard 1, then draw 2.
Optional additional costs you pay cost [1] or [A] less.","Riftbound Unit: Ezreal, Prodigy. When you play me, discard 1, then draw 2.
Optional additional costs you pay cost [1] or [A] less.",
Fae Dragon,SFD-101/221,https://riftdecks.com/cards/details-fae-dragon,uncommon,body,,unit,fae,dragon,bandlecity,,,,7,7,C,7C,7,"When you play me, buff up to four friendly units.  (Give each a +1 [S] buff if it doesn't have one.) 
When you spend a buff, play a Gold gear token exhausted.","Riftbound Unit: Fae Dragon. When you play me, buff up to four friendly units. (Give each a +1 [S] buff if it doesn't have one.)
When you spend a buff, play a Gold gear token exhausted.",
Fae Porter,SFD-125/221,https://riftdecks.com/cards/details-fae-porter,common,chaos,,unit,fae,ionia,,,,,4,4,,4,4,"When I move to a battlefield, you may pay [C] to move a unit you control to the same battlefield.","Riftbound Unit: Fae Porter. When I move to a battlefield, you may pay [C] to move a unit you control to the same battlefield.",
Faithful Manufactor,OGN-211/298,https://riftdecks.com/cards/details-faithful-manufactor,common,order,,unit,piltover,,,,,,3,3,,3,2,"When you play me, play a 1 [S] Recruit unit token here.","Riftbound Unit: Faithful Manufactor. When you play me, play a 1 [S] Recruit unit token here.",
Ferrous Forerunner,SFD-021/221,https://riftdecks.com/cards/details-ferrous-forerunner,rare,fury,,unit,mech,yordle,bandlecity,,,,6,6,C,6C,6,"[Deathknell] — Play two 3 [S] Mech unit tokens to your base.  (When I die, get the effect.) ","Riftbound Unit: Ferrous Forerunner. [Deathknell] — Play two 3 [S] Mech unit tokens to your base. (When I die, get the effect.)",
"Fiora, Peerless",SFD-110a/221,https://riftdecks.com/cards/details-fiora-peerless,showcase,body,,unit,fiora,demacia,,,,champion,3,3,C,3C,3,"When I attack or defend one on one, double my Might this combat.","Riftbound Unit: Fiora, Peerless. When I attack or defend one on one, double my Might this combat.",
"Fiora, Victorious",OGN-232/298,https://riftdecks.com/cards/details-fiora-victorious,rare,order,,unit,fiora,demacia,,,,champion,4,4,,4,4,"While I'm [Mighty], I have [Deflect], [Ganking], and [Shield]. (I'm Mighty while I have 5+ [S].)","Riftbound Unit: Fiora, Victorious. While I'm [Mighty], I have [Deflect], [Ganking], and [Shield]. (I'm Mighty while I have 5+ [S].)",
"Fiora, Worthy",SFD-180a/221,https://riftdecks.com/cards/details-fiora-worthy,showcase,order,,unit,fiora,demacia,,,,champion,3,3,,3,3,"When a unit you control becomes [Mighty], you may pay [C] to ready it.  (A unit is Mighty while it has 5+ [S].) ","Riftbound Unit: Fiora, Worthy. When a unit you control becomes [Mighty], you may pay [C] to ready it. (A unit is Mighty while it has 5+ [S].)",
First Mate,OGN-132/298,https://riftdecks.com/cards/details-first-mate,common,body,,unit,pirate,bilgewater,,,,,3,3,,3,3,"When you play me, ready another unit.","Riftbound Unit: First Mate. When you play me, ready another unit.",
"Fizz, Trickster",SFD-140/221,https://riftdecks.com/cards/details-fizz-trickster,rare,chaos,,unit,yordle,fizz,bilgewater,,,champion,3,3,C,3C,3,"When you play me, you may play a spell from your trash with Energy cost no more than [3], ignoring its Energy cost. Recycle that spell after you play it.  (You must still pay its Power cost.) ","Riftbound Unit: Fizz, Trickster. When you play me, you may play a spell from your trash with Energy cost no more than [3], ignoring its Energy cost. Recycle that spell after you play it. (You must still pay its Power cost.)",
